,幣別,現金匯率(買入),現金匯率(賣出),即期匯率(買入),即期匯率(賣出)
0,美金 (USD),27.55,28.22,27.875,28.025
1,港幣 (HKD),3.447,3.651,3.568,3.638
2,英鎊 (GBP),37.62,39.74,38.515,39.145
3,澳幣 (AUD),21.42,22.2,21.635,21.98
4,加拿大幣 (CAD),22.06,22.97,22.39,22.72
5,新加坡幣 (SGD),20.51,21.42,20.98,21.2
6,瑞士法郎 (CHF),29.74,30.94,30.35,30.74
7,日圓 (JPY),0.2492,0.262,0.2562,0.2608
8,南非幣 (ZAR),-,-,1.917,2.007
9,瑞典幣 (SEK),2.95,3.47,3.28,3.4
10,紐元 (NZD),19.73,20.58,20.06,20.36
11,泰幣 (THB),0.7615,0.9515,0.8709,0.9169
12,菲國比索 (PHP),0.5048,0.6378,-,-
13,印尼幣 (IDR),0.00158,0.00228,-,-
14,歐元 (EUR),32.95,34.29,33.465,34.065
15,韓元 (KRW),0.02341,0.02731,-,-
16,越南盾 (VND),0.00082,0.00132,-,-
17,馬來幣 (MYR),5.706,7.331,-,-
18,人民幣 (CNY),4.218,4.38,4.285,4.345
