外幣幣別 Currency,銀行買進 Bank buy,銀行賣出 Bank sell
美元(USD) US Dollars,30.7300,30.9300
美元現鈔(USD) US Dollar Cash,30.4500,31.1500
人民幣(CNY) Chinese Yuan,4.2560,4.3560
人民幣現鈔(CNY) Chinese Yuan Cash,4.1560,4.3760
港幣(HKD) Hong Kong Dollars,3.8710,3.9910
港幣現鈔(HKD) Hong Kong Dollar Cash,3.7910,4.0310
英鎊(GBP) Pound Sterling,37.2600,38.0600
瑞士法郎(CHF) Swiss Francs,30.8200,31.3400
澳大利亞幣(AUD) Australian Dollars,20.6000,20.9800
新加坡幣(SGD) Singapore Dollars,22.1200,22.5200
加拿大幣(CAD) Canadian Dollars,22.9500,23.3500
瑞典幣(SEK) Swedish Kronor,3.0160,3.2060
南非幣(ZAR) South African Rand,1.9240,2.1140
日圓(JPY) Japanese Yen,0.2843,0.2923
日圓現鈔(JPY) Japanese Yen Cash,0.2803,0.2943
丹麥幣(DKK) Danish Kroner,4.4500,4.6100
泰國幣(THB) Thai Baht,0.9750,1.0550
紐西蘭幣(NZD) New Zealand Dollars,19.2800,19.6800
歐元(EUR) Euro,33.4200,34.2200
歐元現鈔(EUR) Euro Cash,32.9900,34.5700
土耳其里拉(TRY) Turkish Lira,4.9560,5.6760
