,Currency,現金匯率(本行買入),現金匯率(本行賣出),即期匯率(本行買入),即期匯率(本行賣出)
0,美金 (USD),31.14,31.81,31.49,31.59
1,港幣 (HKD),3.874,4.078,4,4.06
2,英鎊 (GBP),38.6,40.72,39.61,40.01
3,澳幣 (AUD),20.31,21.09,20.6,20.8
4,加拿大幣 (CAD),22.87,23.78,23.27,23.47
5,新加坡幣 (SGD),22.88,23.79,23.37,23.55
6,瑞士法郎 (CHF),35.76,36.96,36.44,36.69
7,日圓 (JPY),0.2047,0.2175,0.212,0.216
8,南非幣 (ZAR),-,-,1.619,1.699
9,瑞典幣 (SEK),2.63,3.15,2.97,3.07
10,紐元 (NZD),18.86,19.71,19.24,19.44
11,泰幣 (THB),0.7585,0.9485,0.8709,0.9109
12,菲國比索 (PHP),0.4972,0.6292,-,-
13,印尼幣 (IDR),0.00168,0.00238,-,-
14,歐元 (EUR),33.46,34.8,34.08,34.48
15,韓元 (KRW),0.02169,0.02559,-,-
16,越南盾 (VND),0.00106,0.00147,-,-
17,馬來幣 (MYR),5.648,7.168,-,-
18,人民幣 (CNY),4.273,4.435,4.345,4.395
