,幣別名稱,買入價格,賣出價格
0,美金小額(USD),31.4930,31.5930
1,美金現鈔(USD-C),31.2430,31.8130
2,英鎊(GBP),39.6210,40.0210
3,澳幣(AUD),20.6300,20.8300
4,港幣(HKD),4.0050,4.0550
5,港幣現鈔(HKD-C),3.9200,4.0800
6,新加坡幣(SGD),23.3750,23.5750
7,加拿大幣(CAD),23.2740,23.4740
8,瑞士法朗(CHF),36.4590,36.7190
9,南非幣(ZAR),1.6100,1.7100
10,瑞典幣(SEK),2.9700,3.0700
11,日圓(JPY),0.2121,0.2161
12,日圓現鈔(JPY-C),0.2096,0.2176
13,泰銖(THB),0.8724,0.9124
14,歐元(EUR),34.0890,34.4890
15,歐元現鈔(EUR-C),33.6890,34.7890
16,紐西蘭幣(NZD),19.2480,19.4480
17,人民幣(CNY),4.3504,4.3944
18,人民幣現鈔(CNY-C),4.2724,4.4724
