,電影名稱,評分網連結,圖片連結
0,蜂刑者 The Beekeeper,http://www.atmovies.com.tw/movie/fben15314262,http://www.atmovies.com.tw/photo101/fben15314262/pl_fben15314262_0002.jpg
1,魔法公主 Princess Mononoke,http://www.atmovies.com.tw/movie/fpjp40119698,http://www.atmovies.com.tw/photo101/fpjp40119698/pl_fpjp40119698_0010.jpg
2,水行俠失落王國 Aquaman and the Lost Kingdom,http://www.atmovies.com.tw/movie/faen39663764,http://www.atmovies.com.tw/photo101/faen39663764/pl_faen39663764_0002.jpg
3,星願 Wish,http://www.atmovies.com.tw/movie/fwen11304740,http://www.atmovies.com.tw/photo101/fwen11304740/pl_fwen11304740_0003.jpg
4,金手指 The Goldfinger,http://www.atmovies.com.tw/movie/fgth14099796,http://www.atmovies.com.tw/photo101/fgth14099796/pl_fgth14099796_0001.jpg
5,旺卡 Wonka,http://www.atmovies.com.tw/movie/fwen26166392,http://www.atmovies.com.tw/photo101/fwen26166392/pl_fwen26166392_0018.jpg
6,富都青年 Abang Adik,http://www.atmovies.com.tw/movie/famy49927788,http://www.atmovies.com.tw/photo101/famy49927788/pl_famy49927788_0003.jpg
7,BIG BIG,http://www.atmovies.com.tw/movie/fbtw32122757,http://www.atmovies.com.tw/photo101/fbtw32122757/pl_fbtw32122757_0001.jpg
8,送葬人 The Undertaker,http://www.atmovies.com.tw/movie/futh29633446,http://www.atmovies.com.tw/photo101/futh29633446/pl_futh29633446_0004.jpg
9,窗邊的小荳荳 Totto-Chan_ The Little Girl at the Window,http://www.atmovies.com.tw/movie/ftjp62834781,http://www.atmovies.com.tw/photo101/ftjp62834781/pl_ftjp62834781_0001.jpg
10,人犬 DogMan,http://www.atmovies.com.tw/movie/fden17009348,http://www.atmovies.com.tw/photo101/fden17009348/pl_fden17009348_0002.jpg
11,露梁_死亡之海 Noryang_ Deadly Sea,http://www.atmovies.com.tw/movie/fnkr22813112,http://www.atmovies.com.tw/photo101/fnkr22813112/pl_fnkr22813112_0003.jpg
12,2046 4K數位修復版 2046,http://www.atmovies.com.tw/movie/fohk40212712,http://www.atmovies.com.tw/photo101/fohk40212712/pl_fohk40212712_0003.jpg
13,妖怪森林 LUDA,http://www.atmovies.com.tw/movie/fltw47682351,http://www.atmovies.com.tw/photo101/fltw47682351/pl_fltw47682351_0001.jpg
14,法拉利 Ferrari,http://www.atmovies.com.tw/movie/feen53758542,http://www.atmovies.com.tw/photo101/feen53758542/pl_feen53758542_0006.jpg
15,青春豬頭少年不會夢到紅書包女孩 Rascal Does Not Dream of a Knapsack Kid,http://www.atmovies.com.tw/movie/frjp28036417,http://www.atmovies.com.tw/photo101/frjp28036417/pl_frjp28036417_0001.jpg
16,赤心巔峰 Braving the Peak,http://www.atmovies.com.tw/movie/fbtw48993666,http://www.atmovies.com.tw/photo101/fbtw48993666/pl_fbtw48993666_0001.jpg
17,少年pi的奇幻漂流(英國國家劇院 LIFE OF PI NATIONAL THEATRE LIVE,http://www.atmovies.com.tw/movie/flen29579023,http://www.atmovies.com.tw/photo101/flen29579023/pl_flen29579023_0001.jpg
18,爆裂點 Bursting Point,http://www.atmovies.com.tw/movie/fbzh29632851,http://www.atmovies.com.tw/photo101/fbzh29632851/pl_fbzh29632851_0001.jpg
19,老狐狸 Old Fox,http://www.atmovies.com.tw/movie/fotw31435759,http://www.atmovies.com.tw/photo101/fotw31435759/pl_fotw31435759_0002.jpg
