,店號,店名,地址
0,112879,碇內,基隆市暖暖區源遠路158號160號
1,117140,德信,基隆市信義區東信路50號52號1樓
2,117896,深澳坑,基隆市信義區深澳坑路2-6號2-7號
3,118419,聖心,基隆市中山區西定路38號40號
4,123525,滿福,基隆市信義區深澳坑路166之30號1樓
5,127114,新五福,基隆市七堵區福五街80號82號1樓
6,132415,正光,基隆市七堵區自治街9號11號
7,138697,新福樂,基隆市信義區深溪路43號45號1樓
8,139313,新武嶺,基隆市安樂區基金一路168之26號
9,140597,和平島,基隆市中正區和一路125號127號1樓
10,141338,福聚,基隆市七堵區實踐路286號福二街229號1樓
11,143699,崁頂,基隆市仁愛區仁四路60號62號1樓
12,151830,大武嶺,基隆市安樂區大武嶺里基金一路135巷21弄2-1號
13,154840,武訓,基隆市安樂區武訓街102號1樓
14,155625,極上,基隆市仁愛區仁三路66號愛二路54巷10號1樓
15,159177,愛鑫,基隆市仁愛區愛二路65號
16,161295,漁港,基隆市中正區中正路672號1樓
17,163512,六工,基隆市七堵區工建路1之22號1之23號1樓
18,164065,新財發,基隆市中正區新豐街303巷11弄1號3號1樓
19,164593,新長基,基隆市安樂區安樂路二段161號
20,170255,德復,基隆市中山區復興路193號195號197號1樓
21,170886,基金,基隆市安樂區麥金路197號1樓
22,171007,七堵,基隆市七堵區明德一路174號
23,171155,新福成,基隆市仁愛區仁二路84號86號1樓
24,174040,基醫,基隆市信義區信二路268號1樓
25,179827,新仁二,基隆市仁愛區仁二路11號13號1樓
26,180986,基隆,基隆市仁愛區仁二路236號
27,183284,晨曦,基隆市暖暖區東勢街6之52號6之53號1樓
28,184874,新廟口,基隆市仁愛區仁二路228號1樓
29,187530,麥金,基隆市安樂區基金三路80號80-1號1樓
30,189075,永富,基隆市七堵區永富路99號101號103號1樓
31,194538,基隆南,基隆市仁愛區港西街5號1樓
32,196279,美的,基隆市信義區教孝街28號1樓
33,196707,港隆,基隆市仁愛區孝四路23號1樓
34,197412,忠三,基隆市仁愛區忠三路52之1號54號1樓
35,197777,旭東,基隆市中正區中正路54號
36,197984,瑞金,基隆市安樂區基金三路75號75之1號1樓
37,207425,港都,基隆市中正區義二路8號1樓
38,208082,港富,基隆市中山區中華路93號
39,209122,篤勝,基隆市七堵區大德路103號
40,210535,福二,基隆市七堵區福二街157號1樓
41,210720,七堵站,基隆市七堵區東新街2號1樓
42,211398,極緻,基隆市仁愛區仁二路211號1樓
43,214825,新華成,基隆市仁愛區成功一路115號117號1樓
44,215297,翔濱,基隆市中正區祥豐街339號1樓
45,227625,東明,基隆市信義區東明路181號183號1樓
46,231989,觀山海,基隆市中正區砂子里觀海街49號51號1樓
47,235198,新橫濱,基隆市中山區復興路209之3號1樓
48,236696,愛六,基隆市仁愛區仁一路281號1樓
49,236788,深瑞,基隆市信義區深澳坑路129號1樓
50,238278,新壯觀,基隆市安樂區麥金路64號66號1樓
51,239271,德欣,基隆市中山區復興路328號之6號之7號1樓
52,240167,新暖東,基隆市暖暖區暖暖街175號177號1樓
53,243650,哨船頭,基隆市中正區義一路83號1樓
54,243719,基信,基隆市信義區信二路23號23之4號
55,249186,暖碇,基隆市暖暖區碇內街9號11號
56,249348,崇信,基隆市信義區東信路212-4及214號1樓
57,249496,杰昕,基隆市信義區信二路243號245號
58,249511,孝三,基隆市仁愛區孝三路89號91號1樓
59,249599,八斗子,基隆市中正區北寧路327號1樓
60,250728,樂添,基隆市安樂區樂利二街62巷291號2樓292號293號1樓
61,251662,和豐,基隆市中正區新豐街203號1樓
62,252584,暖鑫,基隆市暖暖區暖暖街554號
63,252816,武晴,基隆市安樂區基金一路214之17號
64,253417,華新一,基隆市七堵區華新一路22號26號1樓
65,253495,安一,基隆市安樂區安一路172及174號
66,254225,富華,基隆市中山區中華路9號
67,254340,篤鑫,基隆市七堵區堵南街22-1號1樓
68,255413,樂三,基隆市安樂區樂利三街257號259號1樓
69,261049,海洋,基隆市中正區中正路609號1樓
70,263001,基義,基隆市中正區義二路181號185號1樓
71,263517,新和慶,基隆市安樂區中和路166之5號166之6號1樓
72,263687,財豐,基隆市中正區新豐街389號1樓
73,263713,新大慶,基隆市中山區中和路168巷7弄13號15號1樓
74,265535,龍騰,基隆市中正區義一路22號24號
75,265605,巧龍,基隆市七堵區百三街61號
76,892272,信二,基隆市信義區信二路167號
77,906553,正濱,基隆市中正區豐稔街27號29號
78,906759,北寧,基隆市中正區北寧路382號382-5號
79,928368,豐勝,基隆市中正區中正路322號1樓
80,942478,新金樂,基隆市安樂區麥金路427號
81,951003,深美,基隆市信義區深美街196號
82,962313,坤海,基隆市信義區東明路69號1樓
83,970738,慶龍,基隆市仁愛區南榮路187號1樓
84,977142,源遠,基隆市暖暖區源遠路294號296號298號1樓
85,981233,極品,基隆市仁愛區仁三路19號21號1樓2樓
86,989086,仁五,基隆市仁愛區仁五路63號1樓
87,990879,大武崙,基隆市安樂區基金一路381號383號1樓
